Round,RMSE,MAE,R2,Time
FedAvg
1,0.7422088897963708,0.566740872367456,-14.14420471993525,2025-04-01 00:28:58
2,1.3542588114456398,1.338448412314818,-49.419380844641346,2025-04-01 00:29:00
3,0.9511385602179667,0.8765538804685461,-23.87034133573055,2025-04-01 00:29:03
4,1.272145143790863,1.259296837241866,-43.4905215655118,2025-04-01 00:29:05
5,0.43756002933969973,0.3209831835018226,-4.263437299289862,2025-04-01 00:29:08
6,0.3870617176480972,0.34353659394487285,-3.1186473426008305,2025-04-01 00:29:11
7,0.7457359331676454,0.7154146441427431,-14.288479956478175,2025-04-01 00:29:13
8,0.6545453195916472,0.6384667715858073,-10.778055912640372,2025-04-01 00:29:16
9,0.2724224526861334,0.21350571717995423,-1.0402339288327327,2025-04-01 00:29:18
10,0.4033664962550175,0.37584761969432484,-3.4729476328506426,2025-04-01 00:29:21
11,0.2687205610818497,0.23224649401013242,-0.9851620463168009,2025-04-01 00:29:23
12,0.2760082054866559,0.22883884890549794,-1.0942964430541364,2025-04-01 00:29:27
13,0.1952049474685827,0.1656627889218897,-0.04755252867217319,2025-04-01 00:29:29
FedProx
1,0.5814814058357971,0.5420267859772,-8.295350706405207,2025-04-01 13:27:20
2,0.5415773949119072,0.5259642544791592,-7.063343742436237,2025-04-01 13:27:21
3,0.2712315085089795,0.2200480654607477,-1.0224341746664347,2025-04-01 13:27:23
4,0.15847827768061198,0.11463258181013611,0.3095478251720015,2025-04-01 13:27:25
5,0.2817223362042418,0.232906051291737,-1.181909226757098,2025-04-01 13:27:26
6,0.21542073818880444,0.17403900582239848,-0.275760454798162,2025-04-01 13:27:28
7,0.16779395457130483,0.13960499985368097,0.22598970757139003,2025-04-01 13:27:30
8,0.14822239154657652,0.12403551772245584,0.39602112471619266,2025-04-01 13:27:31
9,0.1372692795854872,0.117832360393704,0.4819868014302462,2025-04-01 13:27:32
10,0.1305954157460098,0.11237007258249507,0.5311326610297906,2025-04-01 13:27:35
11,0.34727906653438123,0.31201776171198775,-2.3155175221746993,2025-04-01 13:27:36
12,0.5183230635838956,0.5048015127641342,-6.385759882504066,2025-04-01 13:27:38
13,0.11919788604303617,0.09822840560484973,0.6094009135957226,2025-04-01 13:27:39
FedDyn
1,0.9192596516910366,0.8006551868573234,-22.23115357113385,2025-04-01 13:58:32
2,1.525490982630706,1.5153035566527158,-62.97549702188821,2025-04-01 13:58:33
3,1.0633535279785673,0.9903962618962332,-30.084918393254192,2025-04-01 13:58:35
4,1.3467447834031523,1.335619970863823,-48.86145907403478,2025-04-01 13:58:36
5,0.6299419497168467,0.540927831667378,-9.909263695233296,2025-04-01 13:58:38
6,0.41852671235144984,0.3734436253371937,-3.815492855155422,2025-04-01 13:58:40
7,0.28317697635289824,0.21124644686897637,-1.204500793083533,2025-04-01 13:58:41
8,0.2735121237174593,0.238989564686578,-1.0565891595589152,2025-04-01 13:58:43
9,0.19687936813634407,0.15663718784952516,-0.0656014252439936,2025-04-01 13:58:45
10,0.286223812742796,0.2467132505062597,-1.2521945547979607,2025-04-01 13:58:46
11,0.1752666365247181,0.14474126264555387,0.1555131648457141,2025-04-01 13:58:48
12,0.2602935695989281,0.2266428314131767,-0.8626071143845075,2025-04-01 13:58:49
13,0.4152382352869513,0.3946967721666253,-3.7401168998914773,2025-04-01 13:58:51
SCAFFOLD
1,0.9342478731342213,0.8845222291805187,-22.994872166488136,2025-04-01 14:14:18
2,1.0409019151894587,1.0166508583661338,-28.786112132868247,2025-04-01 14:14:20
